"from","to","weight","language"
"19","29",1,"SPA"
"20","29",1,"SPA"
"21","29",4,"SPA"
"22","29",1,"SPA"
"25","29",5,"SPA"
"27","29",1,"SPA"
"1","30",78,"SPA"
"2","30",1,"SPA"
"3","30",17,"SPA"
"4","30",2,"SPA"
"5","30",20,"SPA"
"6","30",16,"SPA"
"7","30",2,"SPA"
"9","30",3,"SPA"
"10","30",19,"SPA"
"14","30",6,"SPA"
"15","30",6,"SPA"
"16","30",2,"SPA"
"18","30",3,"SPA"
"20","30",1,"SPA"
"21","30",3,"SPA"
"23","30",1,"SPA"
"24","30",1,"SPA"
"28","30",2,"SPA"
"2","31",15,"SPA"
"3","31",8,"SPA"
"4","31",22,"SPA"
"5","31",5,"SPA"
"6","31",4,"SPA"
"7","31",1,"SPA"
"8","31",11,"SPA"
"9","31",32,"SPA"
"11","31",1,"SPA"
"12","31",9,"SPA"
"13","31",5,"SPA"
"14","31",1,"SPA"
"15","31",2,"SPA"
"16","31",2,"SPA"
"17","31",3,"SPA"
"18","31",6,"SPA"
"19","31",1,"SPA"
"20","31",1,"SPA"
"21","31",2,"SPA"
"22","31",3,"SPA"
"23","31",2,"SPA"
"24","31",1,"SPA"
"1","32",5,"SPA"
"2","32",1,"SPA"
"3","32",29,"SPA"
"5","32",5,"SPA"
"6","32",2,"SPA"
"7","32",6,"SPA"
"8","32",5,"SPA"
"9","32",55,"SPA"
"10","32",1,"SPA"
"12","32",2,"SPA"
"13","32",1,"SPA"
"16","32",1,"SPA"
"18","32",9,"SPA"
"21","32",1,"SPA"
"22","32",5,"SPA"
"24","32",2,"SPA"
"25","32",3,"SPA"
"27","32",3,"SPA"
"29","32",1,"SPA"
"1","33",4,"SPA"
"2","33",1,"SPA"
"3","33",74,"SPA"
"4","33",2,"SPA"
"5","33",6,"SPA"
"6","33",4,"SPA"
"7","33",6,"SPA"
"9","33",28,"SPA"
"10","33",1,"SPA"
"12","33",2,"SPA"
"13","33",1,"SPA"
"14","33",1,"SPA"
"15","33",1,"SPA"
"16","33",1,"SPA"
"18","33",18,"SPA"
"19","33",2,"SPA"
"20","33",7,"SPA"
"21","33",9,"SPA"
"22","33",4,"SPA"
"23","33",3,"SPA"
"24","33",2,"SPA"
"25","33",2,"SPA"
"26","33",1,"SPA"
"31","33",1,"SPA"
"32","33",4,"SPA"
"1","34",8,"SPA"
"2","34",6,"SPA"
"3","34",7,"SPA"
"4","34",14,"SPA"
"5","34",8,"SPA"
"6","34",4,"SPA"
"7","34",1,"SPA"
"8","34",1,"SPA"
"9","34",9,"SPA"
"10","34",5,"SPA"
"12","34",1,"SPA"
"13","34",1,"SPA"
"14","34",2,"SPA"
"15","34",5,"SPA"
"16","34",1,"SPA"
"17","34",2,"SPA"
"18","34",20,"SPA"
"19","34",2,"SPA"
"20","34",5,"SPA"
"21","34",1,"SPA"
"22","34",6,"SPA"
"23","34",2,"SPA"
"24","34",3,"SPA"
"25","34",4,"SPA"
"31","34",2,"SPA"
"32","34",3,"SPA"
"33","34",2,"SPA"
"1","35",1,"SPA"
"2","35",7,"SPA"
"3","35",47,"SPA"
"4","35",2,"SPA"
"5","35",1,"SPA"
"6","35",5,"SPA"
"7","35",9,"SPA"
"8","35",3,"SPA"
"9","35",27,"SPA"
"10","35",1,"SPA"
"13","35",3,"SPA"
"14","35",1,"SPA"
"15","35",1,"SPA"
"16","35",3,"SPA"
"17","35",1,"SPA"
"18","35",13,"SPA"
"19","35",1,"SPA"
"21","35",1,"SPA"
"22","35",1,"SPA"
"23","35",7,"SPA"
"24","35",3,"SPA"
"25","35",2,"SPA"
"26","35",1,"SPA"
"29","35",1,"SPA"
"31","35",3,"SPA"
"32","35",1,"SPA"
"33","35",2,"SPA"
"34","35",2,"SPA"
"1","36",9,"SPA"
"2","36",8,"SPA"
"3","36",21,"SPA"
"4","36",14,"SPA"
"5","36",7,"SPA"
"6","36",6,"SPA"
"7","36",16,"SPA"
"8","36",5,"SPA"
"9","36",25,"SPA"
"10","36",4,"SPA"
"11","36",1,"SPA"
"12","36",2,"SPA"
"13","36",1,"SPA"
"15","36",2,"SPA"
"16","36",2,"SPA"
"17","36",4,"SPA"
"20","36",3,"SPA"
"21","36",4,"SPA"
"22","36",2,"SPA"
"23","36",5,"SPA"
"24","36",2,"SPA"
"26","36",1,"SPA"
"27","36",2,"SPA"
"28","36",7,"SPA"
"29","36",1,"SPA"
"32","36",2,"SPA"
"34","36",10,"SPA"
"35","36",4,"SPA"
"1","37",6,"SPA"
"2","37",10,"SPA"
"3","37",12,"SPA"
"4","37",10,"SPA"
"5","37",10,"SPA"
"6","37",4,"SPA"
"7","37",8,"SPA"
"8","37",1,"SPA"
"9","37",15,"SPA"
"10","37",6,"SPA"
"12","37",4,"SPA"
"13","37",6,"SPA"
"15","37",5,"SPA"
"18","37",2,"SPA"
"19","37",1,"SPA"
"20","37",7,"SPA"
"21","37",2,"SPA"
"22","37",1,"SPA"
"23","37",2,"SPA"
"24","37",2,"SPA"
"25","37",3,"SPA"
"28","37",1,"SPA"
"30","37",3,"SPA"
"32","37",1,"SPA"
"33","37",1,"SPA"
"34","37",2,"SPA"
"36","37",1,"SPA"
"1","38",31,"SPA"
"3","38",36,"SPA"
"4","38",1,"SPA"
"5","38",18,"SPA"
"6","38",16,"SPA"
"7","38",10,"SPA"
"9","38",8,"SPA"
"10","38",16,"SPA"
"12","38",49,"SPA"
"14","38",2,"SPA"
"15","38",6,"SPA"
"18","38",5,"SPA"
"21","38",1,"SPA"
"22","38",1,"SPA"
"24","38",1,"SPA"
"25","38",5,"SPA"
"29","38",1,"SPA"
"31","38",2,"SPA"
"32","38",8,"SPA"
"34","38",2,"SPA"
"36","38",1,"SPA"
"1","39",2,"SPA"
"2","39",32,"SPA"
"3","39",17,"SPA"
"4","39",46,"SPA"
"5","39",2,"SPA"
"6","39",1,"SPA"
"7","39",8,"SPA"
"8","39",7,"SPA"
"9","39",5,"SPA"
"12","39",8,"SPA"
"13","39",4,"SPA"
"17","39",2,"SPA"
"19","39",6,"SPA"
"22","39",2,"SPA"
"24","39",2,"SPA"
"26","39",4,"SPA"
"27","39",2,"SPA"
"28","39",4,"SPA"
"32","39",1,"SPA"
"33","39",1,"SPA"
"34","39",1,"SPA"
"35","39",1,"SPA"
"36","39",1,"SPA"
"37","39",1,"SPA"
"1","40",40,"SPA"
"2","40",5,"SPA"
"4","40",7,"SPA"
"5","40",13,"SPA"
"6","40",3,"SPA"
"7","40",5,"SPA"
"8","40",12,"SPA"
"9","40",1,"SPA"
"10","40",3,"SPA"
"11","40",4,"SPA"
"14","40",2,"SPA"
"15","40",2,"SPA"
"16","40",2,"SPA"
"17","40",2,"SPA"
"18","40",2,"SPA"
"20","40",1,"SPA"
"22","40",1,"SPA"
"23","40",1,"SPA"
"25","40",5,"SPA"
"27","40",1,"SPA"
"32","40",1,"SPA"
"34","40",1,"SPA"
"1","41",4,"SPA"
"2","41",7,"SPA"
"3","41",25,"SPA"
"4","41",5,"SPA"
"5","41",19,"SPA"
"6","41",9,"SPA"
"7","41",6,"SPA"
"9","41",21,"SPA"
"10","41",6,"SPA"
"12","41",3,"SPA"
"14","41",2,"SPA"
"15","41",5,"SPA"
"16","41",1,"SPA"
"17","41",2,"SPA"
"18","41",13,"SPA"
"20","41",2,"SPA"
"21","41",1,"SPA"
"22","41",2,"SPA"
"23","41",1,"SPA"
"31","41",1,"SPA"
"33","41",4,"SPA"
"34","41",2,"SPA"
"36","41",3,"SPA"
"37","41",4,"SPA"
"39","41",1,"SPA"
"41","41",1,"SPA"
"1","42",26,"SPA"
"2","42",1,"SPA"
"3","42",2,"SPA"
"5","42",12,"SPA"
"6","42",12,"SPA"
"7","42",8,"SPA"
"8","42",23,"SPA"
"9","42",5,"SPA"
"10","42",5,"SPA"
"11","42",2,"SPA"
"12","42",7,"SPA"
"14","42",1,"SPA"
"15","42",3,"SPA"
"20","42",1,"SPA"
"23","42",1,"SPA"
"24","42",1,"SPA"
"25","42",1,"SPA"
"29","42",4,"SPA"
"33","42",1,"SPA"
"38","42",4,"SPA"
"40","42",11,"SPA"
"1","43",7,"SPA"
"3","43",22,"SPA"
"4","43",2,"SPA"
"6","43",4,"SPA"
"7","43",4,"SPA"
"8","43",21,"SPA"
"10","43",2,"SPA"
"11","43",2,"SPA"
"12","43",12,"SPA"
"13","43",5,"SPA"
"15","43",3,"SPA"
"16","43",2,"SPA"
"18","43",4,"SPA"
"21","43",2,"SPA"
"22","43",2,"SPA"
"24","43",2,"SPA"
"25","43",5,"SPA"
"28","43",3,"SPA"
"29","43",3,"SPA"
"33","43",4,"SPA"
"34","43",2,"SPA"
"36","43",3,"SPA"
"38","43",1,"SPA"
"42","43",2,"SPA"
"2","44",7,"SPA"
"3","44",3,"SPA"
"4","44",17,"SPA"
"5","44",6,"SPA"
"6","44",1,"SPA"
"7","44",2,"SPA"
"8","44",7,"SPA"
"9","44",32,"SPA"
"12","44",2,"SPA"
"13","44",1,"SPA"
"14","44",3,"SPA"
"15","44",1,"SPA"
"16","44",1,"SPA"
"18","44",1,"SPA"
"20","44",3,"SPA"
"23","44",11,"SPA"
"32","44",2,"SPA"
"33","44",2,"SPA"
"35","44",1,"SPA"
"39","44",2,"SPA"
"1","45",23,"SPA"
"2","45",3,"SPA"
"3","45",10,"SPA"
"4","45",59,"SPA"
"5","45",30,"SPA"
"6","45",15,"SPA"
"7","45",7,"SPA"
"8","45",2,"SPA"
"9","45",4,"SPA"
"10","45",11,"SPA"
"11","45",2,"SPA"
"13","45",1,"SPA"
"14","45",5,"SPA"
"15","45",7,"SPA"
"19","45",1,"SPA"
"20","45",2,"SPA"
"21","45",1,"SPA"
"22","45",14,"SPA"
"23","45",1,"SPA"
"24","45",2,"SPA"
"26","45",3,"SPA"
"31","45",4,"SPA"
"34","45",1,"SPA"
"37","45",2,"SPA"
"41","45",2,"SPA"
"43","45",1,"SPA"
"1","46",20,"SPA"
"3","46",13,"SPA"
"4","46",1,"SPA"
"5","46",14,"SPA"
"6","46",5,"SPA"
"7","46",5,"SPA"
"10","46",2,"SPA"
"13","46",1,"SPA"
"14","46",4,"SPA"
"15","46",4,"SPA"
"17","46",12,"SPA"
"21","46",4,"SPA"
"24","46",1,"SPA"
"28","46",1,"SPA"
"34","46",1,"SPA"
"37","46",2,"SPA"
"41","46",2,"SPA"
"43","46",1,"SPA"
"1","47",13,"SPA"
"2","47",1,"SPA"
"3","47",5,"SPA"
"4","47",7,"SPA"
"5","47",14,"SPA"
"6","47",6,"SPA"
"7","47",15,"SPA"
"9","47",4,"SPA"
"11","47",3,"SPA"
"12","47",4,"SPA"
"13","47",2,"SPA"
"15","47",2,"SPA"
"17","47",2,"SPA"
"18","47",3,"SPA"
"21","47",2,"SPA"
"22","47",2,"SPA"
"23","47",3,"SPA"
"26","47",3,"SPA"
"32","47",1,"SPA"
"34","47",1,"SPA"
"38","47",1,"SPA"
"39","47",1,"SPA"
"40","47",4,"SPA"
"1","48",2,"SPA"
"2","48",2,"SPA"
"3","48",10,"SPA"
"4","48",69,"SPA"
"5","48",5,"SPA"
"6","48",1,"SPA"
"7","48",9,"SPA"
"9","48",5,"SPA"
"10","48",7,"SPA"
"11","48",52,"SPA"
"12","48",1,"SPA"
"13","48",8,"SPA"
"14","48",4,"SPA"
"15","48",1,"SPA"
"16","48",14,"SPA"
"18","48",2,"SPA"
"19","48",7,"SPA"
"20","48",2,"SPA"
"21","48",1,"SPA"
"25","48",4,"SPA"
"26","48",4,"SPA"
"27","48",1,"SPA"
"29","48",1,"SPA"
"33","48",1,"SPA"
"34","48",1,"SPA"
"41","48",1,"SPA"
"43","48",1,"SPA"
"1","49",8,"SPA"
"2","49",13,"SPA"
"3","49",17,"SPA"
"4","49",16,"SPA"
"5","49",13,"SPA"
"6","49",9,"SPA"
"7","49",7,"SPA"
"9","49",4,"SPA"
"11","49",1,"SPA"
"13","49",6,"SPA"
"15","49",5,"SPA"
"16","49",1,"SPA"
"17","49",6,"SPA"
"18","49",11,"SPA"
"19","49",1,"SPA"
"21","49",4,"SPA"
"22","49",3,"SPA"
"24","49",1,"SPA"
"26","49",2,"SPA"
"28","49",3,"SPA"
"31","49",7,"SPA"
"33","49",1,"SPA"
"34","49",1,"SPA"
"35","49",4,"SPA"
"36","49",3,"SPA"
"40","49",5,"SPA"
"45","49",1,"SPA"
"1","50",3,"SPA"
"3","50",57,"SPA"
"5","50",4,"SPA"
"7","50",4,"SPA"
"8","50",1,"SPA"
"13","50",10,"SPA"
"17","50",11,"SPA"
"18","50",20,"SPA"
"24","50",5,"SPA"
"25","50",5,"SPA"
"31","50",2,"SPA"
"33","50",5,"SPA"
"34","50",4,"SPA"
"36","50",4,"SPA"
"37","50",3,"SPA"
"38","50",4,"SPA"
"44","50",2,"SPA"
"48","50",1,"SPA"
"1","51",2,"SPA"
"2","51",37,"SPA"
"3","51",2,"SPA"
"4","51",32,"SPA"
"5","51",1,"SPA"
"6","51",1,"SPA"
"7","51",9,"SPA"
"8","51",9,"SPA"
"9","51",4,"SPA"
"12","51",12,"SPA"
"13","51",6,"SPA"
"14","51",1,"SPA"
"15","51",2,"SPA"
"16","51",1,"SPA"
"17","51",4,"SPA"
"19","51",3,"SPA"
"22","51",1,"SPA"
"24","51",1,"SPA"
"25","51",2,"SPA"
"26","51",2,"SPA"
"27","51",2,"SPA"
"30","51",3,"SPA"
"36","51",1,"SPA"
"37","51",2,"SPA"
"41","51",1,"SPA"
"45","51",14,"SPA"
"1","52",5,"SPA"
"2","52",9,"SPA"
"3","52",22,"SPA"
"4","52",12,"SPA"
"5","52",2,"SPA"
"6","52",3,"SPA"
"7","52",10,"SPA"
"8","52",2,"SPA"
"9","52",16,"SPA"
