"from","to","weight","language"
"8","36",1,"EUS"
"11","36",4,"EUS"
"12","36",1,"EUS"
"16","36",5,"EUS"
"21","36",1,"EUS"
"24","36",1,"EUS"
"28","36",100,"EUS"
"29","36",1,"EUS"
"34","36",1,"EUS"
"1","37",10,"EUS"
"2","37",8,"EUS"
"3","37",1,"EUS"
"4","37",2,"EUS"
"6","37",5,"EUS"
"7","37",3,"EUS"
"9","37",2,"EUS"
"10","37",2,"EUS"
"11","37",2,"EUS"
"12","37",1,"EUS"
"16","37",2,"EUS"
"23","37",1,"EUS"
"24","37",3,"EUS"
"28","37",3,"EUS"
"29","37",1,"EUS"
"30","37",1,"EUS"
"31","37",1,"EUS"
"32","37",1,"EUS"
"1","38",16,"EUS"
"2","38",2,"EUS"
"3","38",3,"EUS"
"5","38",3,"EUS"
"6","38",3,"EUS"
"7","38",2,"EUS"
"9","38",2,"EUS"
"11","38",5,"EUS"
"12","38",2,"EUS"
"13","38",1,"EUS"
"15","38",1,"EUS"
"16","38",4,"EUS"
"17","38",2,"EUS"
"18","38",1,"EUS"
"22","38",1,"EUS"
"24","38",6,"EUS"
"26","38",5,"EUS"
"34","38",1,"EUS"
"1","39",19,"EUS"
"2","39",1,"EUS"
"4","39",2,"EUS"
"5","39",1,"EUS"
"6","39",1,"EUS"
"7","39",5,"EUS"
"11","39",2,"EUS"
"14","39",1,"EUS"
"15","39",11,"EUS"
"16","39",1,"EUS"
"17","39",3,"EUS"
"19","39",1,"EUS"
"20","39",1,"EUS"
"24","39",1,"EUS"
"27","39",1,"EUS"
"28","39",1,"EUS"
"32","39",1,"EUS"
"38","39",1,"EUS"
"1","40",7,"EUS"
"2","40",3,"EUS"
"3","40",1,"EUS"
"7","40",2,"EUS"
"9","40",1,"EUS"
"17","40",2,"EUS"
"18","40",1,"EUS"
"23","40",1,"EUS"
"24","40",1,"EUS"
"27","40",1,"EUS"
"1","41",6,"EUS"
"2","41",2,"EUS"
"6","41",6,"EUS"
"7","41",2,"EUS"
"9","41",2,"EUS"
