"from","to","weight","language"
"17","38",1,"DEU"
"18","38",1,"DEU"
"19","38",2,"DEU"
"21","38",2,"DEU"
"22","38",1,"DEU"
"24","38",1,"DEU"
"25","38",16,"DEU"
"26","38",1,"DEU"
"27","38",2,"DEU"
"29","38",1,"DEU"
"32","38",2,"DEU"
"33","38",2,"DEU"
"34","38",2,"DEU"
"35","38",1,"DEU"
"36","38",12,"DEU"
"37","38",1,"DEU"
"1","39",6,"DEU"
"2","39",9,"DEU"
"3","39",5,"DEU"
"4","39",41,"DEU"
"6","39",17,"DEU"
"7","39",1,"DEU"
"9","39",6,"DEU"
"10","39",36,"DEU"
"11","39",26,"DEU"
"12","39",19,"DEU"
"13","39",2,"DEU"
"14","39",24,"DEU"
"15","39",3,"DEU"
"17","39",1,"DEU"
"19","39",2,"DEU"
"21","39",4,"DEU"
"25","39",14,"DEU"
"29","39",6,"DEU"
"32","39",1,"DEU"
"34","39",1,"DEU"
"36","39",10,"DEU"
"1","40",5,"DEU"
"2","40",9,"DEU"
"3","40",12,"DEU"
"4","40",7,"DEU"
"5","40",2,"DEU"
"6","40",10,"DEU"
"7","40",2,"DEU"
"8","40",1,"DEU"
"9","40",3,"DEU"
"10","40",2,"DEU"
"11","40",1,"DEU"
"12","40",5,"DEU"
"13","40",21,"DEU"
"14","40",2,"DEU"
"16","40",2,"DEU"
"17","40",3,"DEU"
"18","40",1,"DEU"
"21","40",1,"DEU"
"22","40",1,"DEU"
"23","40",4,"DEU"
"24","40",2,"DEU"
"25","40",3,"DEU"
"26","40",2,"DEU"
"27","40",6,"DEU"
"28","40",3,"DEU"
"29","40",1,"DEU"
"32","40",11,"DEU"
"33","40",5,"DEU"
"34","40",6,"DEU"
"37","40",1,"DEU"
"1","41",16,"DEU"
"2","41",28,"DEU"
"3","41",6,"DEU"
"4","41",1,"DEU"
"7","41",11,"DEU"
"8","41",1,"DEU"
"10","41",1,"DEU"
"11","41",1,"DEU"
"13","41",1,"DEU"
"14","41",1,"DEU"
"15","41",2,"DEU"
"16","41",5,"DEU"
"17","41",10,"DEU"
"19","41",1,"DEU"
"20","41",47,"DEU"
"21","41",2,"DEU"
"22","41",1,"DEU"
"23","41",4,"DEU"
"24","41",2,"DEU"
"26","41",2,"DEU"
"27","41",2,"DEU"
"28","41",4,"DEU"
"31","41",2,"DEU"
"33","41",3,"DEU"
"34","41",1,"DEU"
"35","41",1,"DEU"
